Transaction date,Transaction,Name,Memo,Amount
9/25/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 1.88 ~ Category: Other,-375.65
9/23/2022,CREDIT,PREAUTHORIZED PAYMENT,,2442.55
9/20/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.35 ~ Category: Other,-270.05
9/19/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 1.71 ~ Category: Other,-342.93
9/18/2022,DEBIT,SPORTS JUNKIES VANCOUVER BC,Rewards earned: 0.08 ~ Category: Other,-16.79
9/18/2022,DEBIT,SPORTS JUNKIES VANCOUVER BC,Rewards earned: 1.79 ~ Category: Other,-358.4
9/16/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.39 ~ Category: Groceries,-19.68
9/11/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 1.79 ~ Category: Other,-358.68
9/7/2022,DEBIT,REAL CDN SUPERSTORE 15 COQUITLAM,Rewards earned: 0.29 ~ Category: Groceries,-14.48
9/7/2022,DEBIT,COSTCO GAS W255 PT COQUITLAM BC,Rewards earned: 1.43 ~ Category: Gas,-71.37
9/7/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 1.26 ~ Category: Other,-251.86
9/6/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.08 ~ Category: Other,-416.24
9/5/2022,DEBIT,WAVES COFFEE PITT MEAD PITT MEAD,Rewards earned: 0.16 ~ Category: Restaurant,-7.93
9/4/2022,DEBIT,SOBO RESTAURANT TOFINO BC,Rewards earned: 2.04 ~ Category: Restaurant,-102.23
9/3/2022,DEBIT,BLACK BIRD SCHNITZEL H QUALICUM ,Rewards earned: 1.76 ~ Category: Restaurant,-88.17
9/3/2022,DEBIT,BLUE FOX CAFE LTD VICTORIA BC,Rewards earned: 1.20 ~ Category: Restaurant,-59.8
8/29/2022,DEBIT,CANADIAN FLIGHT CENTRE PITT MEAD,Rewards earned: 2.12 ~ Category: Other,-424.11
8/29/2022,DEBIT,COSTCO WHOLESALE W255 PORT COQUI,Rewards earned: 0.99 ~ Category: Other,-197.85
8/29/2022,DEBIT,WWW COSTCO CA 888-426-7826 ON,Rewards earned: 0.63 ~ Category: Other,-126
8/28/2022,DEBIT,COCOA WEST CHOCOLATIER BOWEN ISL,Rewards earned: 0.05 ~ Category: Other,-10.35
8/28/2022,DEBIT,TUSCANY RESTAURANT BOWEN ISLAND ,Rewards earned: 0.09 ~ Category: Restaurant,-4.62
8/28/2022,DEBIT,SNUG COVE GENERAL STOR BOWEN ISL,Rewards earned: 0.05 ~ Category: Groceries,-2.61
